Palabra A	Palabra B	Calificación de la relación (0-4)	Observaciones 
xi'ipal	oorganóos	1	Tu baanda in kaajale' ku mayanisaarta'al je'ex: oorganos
ch'i'ibal	suutul	0	
ch'úupal	kanmaj	2	
ik'al	ch'ino'ob	0	Así escrito para mí es un imperativo (tíralos), porque si se ecribe con vocal larga podría ser sustantivo. Por eso en este contexto para mí no tiene ninguna relación.
ka'ansaj	íinjenieryai'	2	
chak	k'áankab	4	
ko'olel	p'áatiko'	1	
noojol	baantai	4	
kúuchil	síinike'	2	
óok'ot	xotobo'ob	0	
chik'in	poniente	4	
ja'	uk'be'en	4	
paakat	bíitaminas	0	
ma'alo'	béendisyoon	2	
kéej	síiaj	0	
ik'al	ts'o'ots'ona'ab	0	
páak	eskweela'a	1	
paakat	jelsubaj	3	Je'elsubaj
xíiw	díinosaurio	0	
chichan	síijo'obo'	2	
xíiw	jalachilo'ob	3	
kaaj	mu'uk'ankúunsa'al	1	
xi'ipal	náachkunsikubáajo'ob	2	
beej	coche	3	
ya'ax	k'an	3	
ya'ax	wíits'ino'ob	0	
k'aay	kbiinbal	3	
sak	k'aanil	2	K'áanil wa k'anil (¿hamaca o lo amarillo o la yema del huevo?)
kaaj	ts'íibtabech	0	
pa'ataj	cha'antej	3	
winik	súujk'a'atik	0	Ma' tin na'ataj ba'ax súujk'a'atik
janal	meentiko'ob	2	
ya'ax	séektretaaroil	0	
k'aaba'	kóon	2	
boox	t'o'olchajal	0	
kúuchil	báaxalo'	2	
ka'ansaj	yóoxtéenil	2	
ja'	xáache'eta'al	0	
na'at	na'ateche'	4	
kéej	taakt	0	
pak'ach	soob	2	
ch'i'ibal	cha'antajo'ob	0	
ik'al	úuchuke'	1	
ajmeyaj	kajil	1	
peek'	waalak'	4	
pa'ataj	yuk'o'obi'	3	
winik	ya'ala'a	1	Ya'ala'al
uj	ye'esaje'	2	
ch'úupal	panch'éelo'	3	
wenel	jp'áate'ex	3	
ts'íib	k'a'aytajil	3	
chuuy	áaora	1	
uj	bisa'abij	0	
k'a'ajsaj	beetaj	3	
winik	k'asapi	2	
ts'u'uy	waaj	3	
sak	peet	4	
k'áax	chichnile'	1	
xíiw	páastiyailo'	0	
k'iin	sabado	3	
beej	enkaminaarto'	3	
páak	kool	3	
che'	ch'a'akal	2	
k'aas	síijecho'	1	
lu'um	tíita'al	2	
xa'ak'	k'ut	3	
ko'olel	xiib	4	
ik'al	chak	3	
meyaj	kaláanta'al	2	
na'at	maayáaj	1	
lak'in	ketajubáaj	0	
paakat	wak'aj	0	Paakat ¿mirada wa mirar? wa mirare' yaan relación ti' 3.
wenel	kóokayo'obe'	1	
chichan	wíits'in	2	
na'at	xak'altukultik	2	
xa'ak'	juch'k	3	Jela'an in wilik le k taak'al ti' le t'aano'.
k'iin	k'aaba'on	2	
janal	wu'ulabtubáaj	0	
lu'um	pepek'cha'abtal	2	Tu baanda in kaajale' ku ya'ala'al pepek'che'eta'al
chak	bojonja'	3	
pak'ach	móolino	2	moliino
ch'úupal	winiko'ob	3	wíiniko'ob
uj	áastronautaobe'	2	
k'aaba'	patk'aaba'obi' 	4	
máak	ooltik	1	óoltik
ts'aak	ye'esa	0	
máak	áalkansaarte'	2	
chuuy	menkáa	0	
pak'ach	jyáanlaj	0	
che'	naaklila'	2	
