Palabra A	Palabra B	Calificación de la relación (0-4)	Observaciones
ajmeyaj	kajil	2	
beej	enkaminaarto'	3	
beej	coche	3	
boox	t'o'olchajal	0	
ch'i'ibal	suutul	0	
ch'i'ibal	cha'antajo'ob	0	
ch'úupal	winiko'ob	4	
ch'úupal	panch'éelo'	0	
ch'úupal	kanmaj	1	
chak	k'áankab	3	
chak	bojonja'	3	
che'	ch'a'akal	3	
che'	naaklila'	1	
chichan	wíits'in	3	
chichan	síijo'obo'	0	
chik'in	poniente	4	
chuuy	áaora	0	
chuuy	menkáa	2	
ik'al	ch'ino'ob	0	
ik'al	chak	4	
ik'al	ts'o'ots'ona'ab	2	
ik'al	úuchuke'	0	
ja'	uk'be'en	3	
ja'	xáache'eta'al	0	
janal	meentiko'ob	3	
janal	wu'ulabtubáaj	2	
k'a'ajsaj	beetaj	0	
k'aaba'	kóon	0	
k'aaba'	patk'aaba'obi' 	4	
k'aas	síijecho'	0	
k'áax	chichnile'	0	
k'aay	kbiinbal	2	
k'iin	k'aaba'on	4	
k'iin	sabado	4	
ka'ansaj	yóoxtéenil	0	
ka'ansaj	íinjenieryai'	1	
kaaj	mu'uk'ankúunsa'al	1	
kaaj	ts'íibtabech	0	
kéej	síiaj	1	
kéej	taakt	0	
ko'olel	p'áatiko'	0	
ko'olel	xiib	4	
kúuchil	síinike'	0	
kúuchil	báaxalo'	2	
lak'in	ketajubáaj	0	
lu'um	pepek'cha'abtal	1	
lu'um	tíita'al	1	
ma'alo'	béendisyoon	3	
máak	áalkansaarte'	1	
máak	ooltik	3	
meyaj	kaláanta'al	1	
na'at	na'ateche'	4	
na'at	xak'altukultik	3	
na'at	maayáaj	1	
noojol 	baantai	4	
óok'ot	xotobo'ob	0	
pa'ataj	cha'antej	2	
pa'ataj	yuk'o'obi'	0	
páak	kool	2	
páak	eskweela'a	3	
paakat	bíitaminas	1	
paakat	jelsubaj	2	
paakat	wak'aj	0	
pak'ach	jyáanlaj	1	
pak'ach	móolino	4	
pak'ach	soob	0	
peek'	waalak'	3	
sak	k'aanil	1	
sak	peet	1	
ts'aak	ye'esa	0	
ts'íib	k'a'aytajil	1	
ts'u'uy	waaj	2	
uj	áastronautaobe'	3	
uj	bisa'abij	0	
uj	ye'esaje'	0	
wenel	kóokayo'obe'	1	
wenel	jp'áate'ex	2	
winik	k'asapi	4	
winik	súujk'a'atik	2	
winik	ya'ala'a	2	
xa'ak'	k'ut	2	
xa'ak'	juch'k	3	
xi'ipal	náachkunsikubáajo'ob	1	
xi'ipal	oorganóos	1	
xíiw	díinosaurio	3	
xíiw	jalachilo'ob	0	
xíiw	páastiyailo'	2	
ya'ax	k'an	4	
ya'ax	séektretaaroil	0	
ya'ax	wíits'ino'ob	0	
